id,Name,Breed Group,BredFor,Minimum Life Span,Maximum Life Span,Minimum Height,Maximum Height,Minimum Weight,Maximum Weight,Temperament,Image
66,Greyhound,Hound,Coursinghares,10,13,27,30,50,70,"Affectionate,Athletic,Gentle,Intelligent,Quiet,EvenTempered",https://cdn2.thedogapi.com/images/ryNYMx94X_1280.jpg
67,Harrier,Hound,Huntingharesbytrailingthem,12,15,18,22,40,60,"Outgoing,Friendly,Cheerful,Sweet-Tempered,Tolerant,Active",https://cdn2.thedogapi.com/images/B1IcfgqE7_1280.jpg
68,Havanese,Toy,Companionship,14,15,9,12,7,13,"Affectionate,Responsive,Playful,Companionable,Gentle,Intelligent",https://cdn2.thedogapi.com/images/rkXiGl9V7_1280.jpg
69,IrishSetter,Sporting,"Birdsetting,retrieving",10,11,24,27,35,70,"Affectionate,Energetic,Lively,Independent,Playful,Companionable",https://cdn2.thedogapi.com/images/S1osGeqVm_1280.jpg
70,IrishWolfhound,Hound,"Coursingwolves,elk",6,8,30,35,105,180,"Sweet-Tempered,Loyal,Dignified,Patient,Thoughtful,Generous",https://cdn2.thedogapi.com/images/Hyd2zgcEX_1280.jpg
71,ItalianGreyhound,Toy,Lapdog,12,15,13,15,7,15,"Mischievous,Affectionate,Agile,Athletic,Companionable,Intelligent",https://cdn2.thedogapi.com/images/SJAnzg9NX_1280.jpg
72,JapaneseChin,Toy,Lapdog,12,14,8,11,4,9,"Alert,Loyal,Independent,Intelligent,Loving,Cat-like",https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg
73,Keeshond,Non-Sporting,Bargewatchdog,12,15,17,18,35,45,"Agile,Obedient,Playful,Quick,Sturdy,Bright",https://cdn2.thedogapi.com/images/S1GAGg9Vm_1280.jpg
74,Komondor,Working,Sheepguardian,10,12,26,28,80,100,"Steady,Fearless,Affectionate,Independent,Gentle,Calm",https://cdn2.thedogapi.com/images/Bko0fl547_1280.jpg
75,Kuvasz,Working,"Guardian,huntinglargegame",8,10,26,30,70,115,"Clownish,Loyal,Patient,Independent,Intelligent,Protective",https://cdn2.thedogapi.com/images/BykZ7ecVX_1280.jpg
76,LabradorRetriever,Sporting,Waterretrieving,10,13,22,25,55,80,"Kind,Outgoing,Agile,Gentle,Intelligent,Trusting,EvenTempered",https://cdn2.thedogapi.com/images/B1uW7l5VX_1280.jpg
77,LagottoRomagnolo,Sporting,WaterretrievaldoginthemarshesofRomagna,14,16,16,19,24,35,"Keen,Loyal,Companionable,Loving,Active,Trainable",https://cdn2.thedogapi.com/images/ryzzmgqE7_1280.jpg
78,Leonberger,Working,"Guardian,appearance.",6,8,26,32,120,170,"Obedient,Fearless,Loyal,Companionable,Adaptable,Loving",https://cdn2.thedogapi.com/images/ByrmQlqVm_1280.jpg
79,LhasaApso,Non-Sporting,"Guardinginsidethehome,companion",12,15,10,11,12,18,"Steady,Fearless,Friendly,Devoted,Assertive,Spirited,Energetic,Lively,Alert,Obedient,Playful,Intelligent",https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg
80,Maltese,Toy,Lapdog,15,18,8,10,4,7,"Playful,Docile,Fearless,Affectionate,Sweet-Tempered,Lively,Responsive,Easygoing,Gentle,Intelligent,Active",https://cdn2.thedogapi.com/images/B1SV7gqN7_1280.jpg
81,MiniatureSchnauzer,Terrier,Ratting,12,14,12,14,11,20,"Fearless,Friendly,Spirited,Alert,Obedient,Intelligent",https://cdn2.thedogapi.com/images/SJIUQl9NX_1280.jpg
82,Newfoundland,Working,"Allpurposewaterdog,fishingaid",8,10,26,28,100,150,"Sweet-Tempered,Gentle,Trainable",https://cdn2.thedogapi.com/images/Sk4DXl54m_1280.jpg
83,NorfolkTerrier,Terrier,"Ratting,foxbolting",12,15,9,10,11,12,"Self-confidence,Fearless,Spirited,Companionable,Happy,Lovable",https://cdn2.thedogapi.com/images/B1ADQg94X_1280.jpg
84,Papillon,Toy,Lapdog,13,17,8,11,3,12,"Hardy,Friendly,Energetic,Alert,Intelligent,Happy",https://cdn2.thedogapi.com/images/SkJj7e547_1280.jpg
85,PembrokeWelshCorgi,Herding,DrivingstocktomarketinnorthernWales,12,14,10,12,25,30,"Tenacious,Outgoing,Friendly,Bold,Playful,Protective",https://cdn2.thedogapi.com/images/rJ6iQeqEm_1280.jpg
86,PharaohHound,Hound,Huntingrabbits,12,14,21,25,40,60,"Affectionate,Sociable,Playful,Intelligent,Active,Trainable",https://cdn2.thedogapi.com/images/Byz6mgqEQ_1280.jpg
87,Plott,Hound,Huntingbig-gamelikeBoar.,12,14,20,25,40,60,"Bold,Alert,Loyal,Intelligent",https://cdn2.thedogapi.com/images/B1i67l5VQ_1280.jpg
88,Pug,Toy,Lapdog,12,14,10,12,14,18,"Docile,Clever,Charming,Stubborn,Sociable,Playful,Quiet,Attentive",https://cdn2.thedogapi.com/images/HyJvcl9N7_1280.jpg
89,RedboneCoonhound,Hound,"Huntingraccoon,deer,bear,andcougar.",10,12,21,27,45,80,"Affectionate,Energetic,Independent,Companionable,Familial,Unflappable",https://cdn2.thedogapi.com/images/HJMzEl5N7_1280.jpg
90,RhodesianRidgeback,Hound,"Biggamehunting,guarding",10,12,24,27,75,80,"StrongWilled,Mischievous,Loyal,Dignified,Sensitive,Intelligent",https://cdn2.thedogapi.com/images/By9zNgqE7_1280.jpg
91,Rottweiler,Working,"Cattledrover,guardian,draft",8,10,22,27,75,110,"Steady,Good-natured,Fearless,Devoted,Alert,Obedient,Confident,Self-assured,Calm,Courageous",https://cdn2.thedogapi.com/images/r1xXEgcNX_1280.jpg
92,Samoyed,Working,"Herdingreindeer,guardian,draft",12,14,19,24,50,60,"Stubborn,Friendly,Sociable,Lively,Alert,Playful",https://cdn2.thedogapi.com/images/S1T8Ee9Nm_1280.jpg
93,Schipperke,Non-Sporting,Bargewatchdog,13,15,10,13,10,16,"Fearless,Agile,Curious,Independent,Confident,Faithful",https://cdn2.thedogapi.com/images/SyBvVgc47_1280.jpg
94,ScottishDeerhound,Hound,Coursingdeer,8,10,28,32,70,130,"Docile,Friendly,Dignified,Gentle",https://cdn2.thedogapi.com/images/SkNjqx9NQ_1280.jpg
95,ShihTzu,Toy,Lapdog,10,18,8,11,9,16,"Clever,Spunky,Outgoing,Friendly,Affectionate,Lively,Alert,Loyal,Independent,Playful,Gentle,Intelligent,Happy,Active,Courageous",https://cdn2.thedogapi.com/images/BkrJjgcV7_1280.jpg
96,SilkyTerrier,Toy,"Smallverminhunting,companionship",12,15,9,10,8,10,"Friendly,Responsive,Inquisitive,Alert,Quick,Joyful",https://cdn2.thedogapi.com/images/ByzGsl5Nm_1280.jpg
97,SoftCoatedWheatenTerrier,Terrier,"Verminhunting,guarding,all-aroundfarmhelper",12,15,16,18,30,40,"Affectionate,Spirited,Energetic,Playful,Intelligent,Faithful",https://cdn2.thedogapi.com/images/HJHmix5NQ_1280.jpg
98,SpanishWaterDog,Sporting,Herdingflocksofsheepandgoatsfromonepasturetoanother,12,15,16,20,30,50,"Trainable,Diligent,Affectionate,Loyal,Athletic,Intelligent",https://cdn2.thedogapi.com/images/HJf4jl9VX_1280.jpg
99,Vizsla,Sporting,Pointingandtrailing,10,14,21,24,50,65,"Affectionate,Energetic,Loyal,Gentle,Quiet",https://cdn2.thedogapi.com/images/r1o0jx9Em_1280.jpg
100,Weimaraner,Sporting,Largegametrailingandversatilegundog,12,15,23,27,55,90,"Steady,Aloof,Stubborn,Energetic,Alert,Intelligent,Powerful,Fast",https://cdn2.thedogapi.com/images/SyU12l9V7_1280.jpg
